"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 31 14:09:00 GMT 2022","Mon Oct 31 14:09:07 GMT 2022","7064","","SignInTest","","SignInTest","loginWithInvalidCreds","loginWithInvalidCreds","Description: Login with invalid credentials"
"passed","Mon Oct 31 14:09:23 GMT 2022","Mon Oct 31 14:09:33 GMT 2022","10566","","MainTest","","MainTest","checkCorrectIcons","checkCorrectIcons","Description: Click on icons on banners and check correct title new pages"
"broken","Mon Oct 31 14:08:26 GMT 2022","Mon Oct 31 14:08:48 GMT 2022","21592","","women.TopsTest","","women.TopsTest","checkCurrentFilters","checkCurrentFilters","Description: Choose filters and check the correct current filters"
"passed","Mon Oct 31 14:09:18 GMT 2022","Mon Oct 31 14:09:23 GMT 2022","5055","","MainTest","","MainTest","checkCorrectMainBanner","checkCorrectMainBanner","Description: Click on icon on main banner and check correct title new page"
"passed","Mon Oct 31 14:10:04 GMT 2022","Mon Oct 31 14:10:09 GMT 2022","4977","","SignUpTest","","SignUpTest","registerWithEmptyCreds","registerWithEmptyCreds","Description: Register with empty credentials"
"passed","Mon Oct 31 14:08:54 GMT 2022","Mon Oct 31 14:09:00 GMT 2022","6399","","SignInTest","","SignInTest","loginWithValidCreds","loginWithValidCreds","Description: Login with valid credentials"
"failed","Mon Oct 31 14:09:12 GMT 2022","Mon Oct 31 14:09:18 GMT 2022","5240","","SignInTest","","SignInTest","loginWithEmptyCreds","loginWithEmptyCreds","Description: Login with empty credentials"
"passed","Mon Oct 31 14:09:38 GMT 2022","Mon Oct 31 14:09:50 GMT 2022","11856","","MainTest","","MainTest","checkCorrectNavButtons","checkCorrectNavButtons","Description: Click on navigation button and check correct title new pages"
"passed","Mon Oct 31 14:09:07 GMT 2022","Mon Oct 31 14:09:12 GMT 2022","4919","","SignInTest","","SignInTest","clickCreateAccount","clickCreateAccount","Description: Click on Create Account button, and show page Create Account"
"passed","Mon Oct 31 14:08:48 GMT 2022","Mon Oct 31 14:08:54 GMT 2022","6169","","women.TopsTest","","women.TopsTest","checkFiltersName","checkFiltersName","Description: Check the correct filters name"
"failed","Mon Oct 31 14:09:33 GMT 2022","Mon Oct 31 14:09:38 GMT 2022","5312","","MainTest","","MainTest","validEmailSubscribe","validEmailSubscribe","Description: Empty email for subscribe"
"passed","Mon Oct 31 14:09:50 GMT 2022","Mon Oct 31 14:09:55 GMT 2022","5139","","SignUpTest","","SignUpTest","registerWithInvalidPassword","registerWithInvalidPassword","Description: Register with invalid password"
"passed","Mon Oct 31 14:09:55 GMT 2022","Mon Oct 31 14:09:59 GMT 2022","3605","","SignUpTest","","SignUpTest","registerWithCorrectCreds","registerWithCorrectCreds","Description: Register with correct credentials"
"passed","Mon Oct 31 14:09:59 GMT 2022","Mon Oct 31 14:10:04 GMT 2022","5193","","SignUpTest","","SignUpTest","registerWithSmallPassword","registerWithSmallPassword","Description: Register with small password"
