"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Tests","Create account tests","Description: Register with small password","0","0","1","0","0"
"Tests","Create account tests","Register with empty credentials","1","0","0","0","0"
"Tests","Women Tops tests","Choose filters and check the correct current filters","0","1","0","0","0"
"Tests","Main page tests","Empty email for subscribe","1","0","0","0","0"
"Tests","Login tests","Login with invalid credentials","1","0","0","0","0"
"Tests","Main page tests","Click on icons on banners and check correct title new pages","0","0","1","0","0"
"Tests","Create account tests","Register with correct credentials","0","0","1","0","0"
"Tests","Login tests","Login with valid credentials","0","0","1","0","0"
"Tests","Women Tops tests","Check the correct filters name","0","0","1","0","0"
"Tests","Create account tests","Description: Register with invalid password","0","0","1","0","0"
"Tests","Main page tests","Click on icon on banner and check correct title new page","0","0","1","0","0"
"Tests","Login tests","Click on Create Account button, and show page Create Account","0","0","1","0","0"
"Tests","Login tests","Login with empty credentials","1","0","0","0","0"
"Tests","Main page tests","Click on navigation button and check correct title new pages","0","0","1","0","0"
